area,region,coefficient,correlation,source
town_below100,1,3.019,0.944,region
town_below100,2,2.791,0.871,total
town_below100,3,2.620,0.904,region
town_below100,4,2.862,0.923,region
town_below100,5,2.791,0.871,total
town_below100,6,2.791,0.871,total
town_over100,1,3.019,0.944,region
town_over100,2,2.791,0.871,total
town_over100,3,2.620,0.904,region
town_over100,4,2.862,0.923,region
town_over100,5,2.791,0.871,total
town_over100,6,2.791,0.871,total
city,1,2.867,0.988,area-region
city,2,2.847,0.946,area
city,3,2.847,0.946,area
city,4,2.847,0.946,area
city,5,2.847,0.946,area
city,6,2.847,0.946,area
village,1,3.019,0.944,region
village,2,2.791,0.871,total
village,3,4.244,0.959,area-region
village,4,4.715,0.975,area-region
village,5,2.791,0.871,total
village,6,2.791,0.871,total
minsk_suburb,5,1.851,0.898,area
capital,7,1.705,0.897,area
embassy,8,1.561,0.976,area
